Notes,State,State Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Year,Year Code,Deaths,Population,Crude Rate
,Alaska,2,All other non-drug and non-alcohol causes,O,2016,2016,802,741894,108.1
,Alaska,2,All other non-drug and non-alcohol causes,O,2017,2017,715,739795,96.6
,Alaska,2,All other non-drug and non-alcohol causes,O,2018,2018,731,737438,99.1
,Arizona,4,Drug-induced causes,D,1999,1999,557,5023823,11.1
,Arizona,4,Drug-induced causes,D,2000,2000,559,5130632,10.9
,Arizona,4,Drug-induced causes,D,2001,2001,598,5273477,11.3
,Arizona,4,Drug-induced causes,D,2002,2002,667,5396255,12.4
,Arizona,4,Drug-induced causes,D,2003,2003,739,5510364,13.4
,Arizona,4,Drug-induced causes,D,2004,2004,803,5652404,14.2
,Arizona,4,Drug-induced causes,D,2005,2005,849,5839077,14.5
,Arizona,4,Drug-induced causes,D,2006,2006,959,6029141,15.9
,Arizona,4,Drug-induced causes,D,2007,2007,981,6167681,15.9
,Arizona,4,Drug-induced causes,D,2008,2008,853,6280362,13.6
,Arizona,4,Drug-induced causes,D,2009,2009,1041,6343154,16.4
,Arizona,4,Drug-induced causes,D,2010,2010,1141,6392017,17.9
,Arizona,4,Drug-induced causes,D,2011,2011,1118,6482505,17.2
,Arizona,4,Drug-induced causes,D,2012,2012,1206,6553255,18.4
,Arizona,4,Drug-induced causes,D,2013,2013,1304,6626624,19.7
,Arizona,4,Drug-induced causes,D,2014,2014,1274,6731484,18.9
,Arizona,4,Drug-induced causes,D,2015,2015,1351,6828065,19.8
,Arizona,4,Drug-induced causes,D,2016,2016,1500,6931071,21.6
,Arizona,4,Drug-induced causes,D,2017,2017,1628,7016270,23.2
,Arizona,4,Drug-induced causes,D,2018,2018,1784,7171646,24.9
,Arizona,4,Alcohol-induced causes,A,2003,2003,13,5510364,Unreliable
,Arizona,4,Alcohol-induced causes,A,2004,2004,11,5652404,Unreliable
,Arizona,4,Alcohol-induced causes,A,2007,2007,18,6167681,Unreliable
,Arizona,4,Alcohol-induced causes,A,2008,2008,15,6280362,Unreliable
,Arizona,4,Alcohol-induced causes,A,2010,2010,75,6392017,1.2
,Arizona,4,Alcohol-induced causes,A,2011,2011,76,6482505,1.2
,Arizona,4,Alcohol-induced causes,A,2012,2012,105,6553255,1.6
,Arizona,4,Alcohol-induced causes,A,2013,2013,110,6626624,1.7
,Arizona,4,Alcohol-induced causes,A,2014,2014,95,6731484,1.4
,Arizona,4,Alcohol-induced causes,A,2015,2015,119,6828065,1.7
,Arizona,4,Alcohol-induced causes,A,2016,2016,117,6931071,1.7
,Arizona,4,Alcohol-induced causes,A,2017,2017,110,7016270,1.6
,Arizona,4,Alcohol-induced causes,A,2018,2018,123,7171646,1.7
,Arizona,4,All other non-drug and non-alcohol causes,O,1999,1999,420,5023823,8.4
,Arizona,4,All other non-drug and non-alcohol causes,O,2000,2000,383,5130632,7.5
,Arizona,4,All other non-drug and non-alcohol causes,O,2001,2001,361,5273477,6.8
,Arizona,4,All other non-drug and non-alcohol causes,O,2002,2002,378,5396255,7
,Arizona,4,All other non-drug and non-alcohol causes,O,2003,2003,375,5510364,6.8
,Arizona,4,All other non-drug and non-alcohol causes,O,2004,2004,381,5652404,6.7
,Arizona,4,All other non-drug and non-alcohol causes,O,2005,2005,495,5839077,8.5
,Arizona,4,All other non-drug and non-alcohol causes,O,2006,2006,518,6029141,8.6
,Arizona,4,All other non-drug and non-alcohol causes,O,2007,2007,439,6167681,7.1
,Arizona,4,All other non-drug and non-alcohol causes,O,2008,2008,456,6280362,7.3
,Arizona,4,All other non-drug and non-alcohol causes,O,2009,2009,483,6343154,7.6
,Arizona,4,All other non-drug and non-alcohol causes,O,2010,2010,5470,6392017,85.6
,Arizona,4,All other non-drug and non-alcohol causes,O,2011,2011,5776,6482505,89.1
,Arizona,4,All other non-drug and non-alcohol causes,O,2012,2012,6123,6553255,93.4
,Arizona,4,All other non-drug and non-alcohol causes,O,2013,2013,6271,6626624,94.6
,Arizona,4,All other non-drug and non-alcohol causes,O,2014,2014,6319,6731484,93.9
,Arizona,4,All other non-drug and non-alcohol causes,O,2015,2015,6783,6828065,99.3
,Arizona,4,All other non-drug and non-alcohol causes,O,2016,2016,7396,6931071,106.7
,Arizona,4,All other non-drug and non-alcohol causes,O,2017,2017,7606,7016270,108.4
,Arizona,4,All other non-drug and non-alcohol causes,O,2018,2018,7932,7171646,110.6
,Arkansas,5,Drug-induced causes,D,1999,1999,121,2651860,4.6
,Arkansas,5,Drug-induced causes,D,2000,2000,151,2673400,5.6
,Arkansas,5,Drug-induced causes,D,2001,2001,131,2691571,4.9
,Arkansas,5,Drug-induced causes,D,2002,2002,189,2705927,7
,Arkansas,5,Drug-induced causes,D,2003,2003,203,2724816,7.5
,Arkansas,5,Drug-induced causes,D,2004,2004,249,2749686,9.1
,Arkansas,5,Drug-induced causes,D,2005,2005,286,2781097,10.3
,Arkansas,5,Drug-induced causes,D,2006,2006,307,2821761,10.9
,Arkansas,5,Drug-induced causes,D,2007,2007,326,2848650,11.4
,Arkansas,5,Drug-induced causes,D,2008,2008,390,2874554,13.6
,Arkansas,5,Drug-induced causes,D,2009,2009,384,2896843,13.3
,Arkansas,5,Drug-induced causes,D,2010,2010,374,2915918,12.8
,Arkansas,5,Drug-induced causes,D,2011,2011,375,2937979,12.8
,Arkansas,5,Drug-induced causes,D,2012,2012,398,2949131,13.5
,Arkansas,5,Drug-induced causes,D,2013,2013,343,2959373,11.6
,Arkansas,5,Drug-induced causes,D,2014,2014,377,2966369,12.7
,Arkansas,5,Drug-induced causes,D,2015,2015,425,2978204,14.3
,Arkansas,5,Drug-induced causes,D,2016,2016,423,2988248,14.2
,Arkansas,5,Drug-induced causes,D,2017,2017,481,3004279,16
,Arkansas,5,Drug-induced causes,D,2018,2018,475,3013825,15.8
,Arkansas,5,Alcohol-induced causes,A,2008,2008,35,2874554,1.2
,Arkansas,5,Alcohol-induced causes,A,2009,2009,34,2896843,1.2
,Arkansas,5,Alcohol-induced causes,A,2010,2010,27,2915918,0.9
,Arkansas,5,Alcohol-induced causes,A,2011,2011,31,2937979,1.1
,Arkansas,5,Alcohol-induced causes,A,2012,2012,41,2949131,1.4
,Arkansas,5,Alcohol-induced causes,A,2013,2013,35,2959373,1.2
,Arkansas,5,Alcohol-induced causes,A,2014,2014,39,2966369,1.3
,Arkansas,5,Alcohol-induced causes,A,2015,2015,38,2978204,1.3
,Arkansas,5,Alcohol-induced causes,A,2016,2016,53,2988248,1.8
,Arkansas,5,Alcohol-induced causes,A,2017,2017,42,3004279,1.4
,Arkansas,5,Alcohol-induced causes,A,2018,2018,54,3013825,1.8
,Arkansas,5,All other non-drug and non-alcohol causes,O,1999,1999,94,2651860,3.5
,Arkansas,5,All other non-drug and non-alcohol causes,O,2000,2000,141,2673400,5.3
,Arkansas,5,All other non-drug and non-alcohol causes,O,2001,2001,148,2691571,5.5
,Arkansas,5,All other non-drug and non-alcohol causes,O,2002,2002,178,2705927,6.6
,Arkansas,5,All other non-drug and non-alcohol causes,O,2003,2003,287,2724816,10.5
,Arkansas,5,All other non-drug and non-alcohol causes,O,2004,2004,330,2749686,12
,Arkansas,5,All other non-drug and non-alcohol causes,O,2005,2005,345,2781097,12.4
,Arkansas,5,All other non-drug and non-alcohol causes,O,2006,2006,410,2821761,14.5
,Arkansas,5,All other non-drug and non-alcohol causes,O,2007,2007,421,2848650,14.8
,Arkansas,5,All other non-drug and non-alcohol causes,O,2008,2008,3674,2874554,127.8
,Arkansas,5,All other non-drug and non-alcohol causes,O,2009,2009,3560,2896843,122.9
,Arkansas,5,All other non-drug and non-alcohol causes,O,2010,2010,3430,2915918,117.6
,Arkansas,5,All other non-drug and non-alcohol causes,O,2011,2011,3532,2937979,120.2
,Arkansas,5,All other non-drug and non-alcohol causes,O,2012,2012,3462,2949131,117.4
,Arkansas,5,All other non-drug and non-alcohol causes,O,2013,2013,3615,2959373,122.2
,Arkansas,5,All other non-drug and non-alcohol causes,O,2014,2014,3457,2966369,116.5
,Arkansas,5,All other non-drug and non-alcohol causes,O,2015,2015,3802,2978204,127.7
,Arkansas,5,All other non-drug and non-alcohol causes,O,2016,2016,3611,2988248,120.8
,Arkansas,5,All other non-drug and non-alcohol causes,O,2017,2017,3709,3004279,123.5
,Arkansas,5,All other non-drug and non-alcohol causes,O,2018,2018,3676,3013825,122
,California,6,Drug-induced causes,D,1999,1999,3090,33499204,9.2
,California,6,Drug-induced causes,D,2000,2000,2301,33871648,6.8
,California,6,Drug-induced causes,D,2001,2001,1507,34479458,4.4
,California,6,Drug-induced causes,D,2002,2002,3418,34871843,9.8
,California,6,Drug-induced causes,D,2003,2003,3614,35253159,10.3
,California,6,Drug-induced causes,D,2004,2004,3681,35574576,10.3
,California,6,Drug-induced causes,D,2005,2005,3821,35827943,10.7
,California,6,Drug-induced causes,D,2006,2006,4026,36021202,11.2
,California,6,Drug-induced causes,D,2007,2007,4178,36250311,11.5
,California,6,Drug-induced causes,D,2008,2008,4147,36604337,11.3
,California,6,Drug-induced causes,D,2009,2009,4290,36961229,11.6
,California,6,Drug-induced causes,D,2010,2010,4258,37253956,11.4
,California,6,Drug-induced causes,D,2011,2011,4429,37691912,11.8
,California,6,Drug-induced causes,D,2012,2012,4304,38041430,11.3
,California,6,Drug-induced causes,D,2013,2013,4747,38332521,12.4
,California,6,Drug-induced causes,D,2014,2014,4816,38802500,12.4
,California,6,Drug-induced causes,D,2015,2015,5025,39144818,12.8
,California,6,Drug-induced causes,D,2016,2016,5094,39250017,13
,California,6,Drug-induced causes,D,2017,2017,5302,39536653,13.4
,California,6,Drug-induced causes,D,2018,2018,5771,39557045,14.6
,California,6,Alcohol-induced causes,A,1999,1999,66,33499204,0.2
,California,6,Alcohol-induced causes,A,2000,2000,61,33871648,0.2
,California,6,Alcohol-induced causes,A,2001,2001,70,34479458,0.2
,California,6,Alcohol-induced causes,A,2002,2002,73,34871843,0.2
,California,6,Alcohol-induced causes,A,2003,2003,67,35253159,0.2
,California,6,Alcohol-induced causes,A,2004,2004,69,35574576,0.2
,California,6,Alcohol-induced causes,A,2005,2005,73,35827943,0.2
,California,6,Alcohol-induced causes,A,2006,2006,79,36021202,0.2
,California,6,Alcohol-induced causes,A,2007,2007,99,36250311,0.3
,California,6,Alcohol-induced causes,A,2008,2008,105,36604337,0.3
,California,6,Alcohol-induced causes,A,2009,2009,101,36961229,0.3
,California,6,Alcohol-induced causes,A,2010,2010,92,37253956,0.2
,California,6,Alcohol-induced causes,A,2011,2011,95,37691912,0.3
,California,6,Alcohol-induced causes,A,2012,2012,105,38041430,0.3
,California,6,Alcohol-induced causes,A,2013,2013,93,38332521,0.2
,California,6,Alcohol-induced causes,A,2014,2014,119,38802500,0.3
,California,6,Alcohol-induced causes,A,2015,2015,120,39144818,0.3
,California,6,Alcohol-induced causes,A,2016,2016,125,39250017,0.3
,California,6,Alcohol-induced causes,A,2017,2017,106,39536653,0.3
,California,6,Alcohol-induced causes,A,2018,2018,119,39557045,0.3
,California,6,All other non-drug and non-alcohol causes,O,1999,1999,3131,33499204,9.3
,California,6,All other non-drug and non-alcohol causes,O,2000,2000,3238,33871648,9.6
,California,6,All other non-drug and non-alcohol causes,O,2001,2001,3114,34479458,9
,California,6,All other non-drug and non-alcohol causes,O,2002,2002,3513,34871843,10.1
,California,6,All other non-drug and non-alcohol causes,O,2003,2003,3442,35253159,9.8
,California,6,All other non-drug and non-alcohol causes,O,2004,2004,3488,35574576,9.8
,California,6,All other non-drug and non-alcohol causes,O,2005,2005,3549,35827943,9.9
,California,6,All other non-drug and non-alcohol causes,O,2006,2006,3331,36021202,9.2
,California,6,All other non-drug and non-alcohol causes,O,2007,2007,3407,36250311,9.4
,California,6,All other non-drug and non-alcohol causes,O,2008,2008,3315,36604337,9.1
,California,6,All other non-drug and non-alcohol causes,O,2009,2009,3379,36961229,9.1
,California,6,All other non-drug and non-alcohol causes,O,2010,2010,3227,37253956,8.7
,California,6,All other non-drug and non-alcohol causes,O,2011,2011,3237,37691912,8.6
,California,6,All other non-drug and non-alcohol causes,O,2012,2012,3296,38041430,8.7
,California,6,All other non-drug and non-alcohol causes,O,2013,2013,3425,38332521,8.9
,California,6,All other non-drug and non-alcohol causes,O,2014,2014,3431,38802500,8.8
,California,6,All other non-drug and non-alcohol causes,O,2015,2015,3609,39144818,9.2
,California,6,All other non-drug and non-alcohol causes,O,2016,2016,3880,39250017,9.9
,California,6,All other non-drug and non-alcohol causes,O,2017,2017,4026,39536653,10.2
,California,6,All other non-drug and non-alcohol causes,O,2018,2018,4014,39557045,10.1
,Colorado,8,Drug-induced causes,D,1999,1999,375,4226018,8.9
,Colorado,8,Drug-induced causes,D,2000,2000,372,4301261,8.6
,Colorado,8,Drug-induced causes,D,2001,2001,444,4425687,10
,Colorado,8,Drug-induced causes,D,2002,2002,474,4490406,10.6
,Colorado,8,Drug-induced causes,D,2003,2003,529,4528732,11.7
,Colorado,8,Drug-induced causes,D,2004,2004,548,4575013,12
,Colorado,8,Drug-induced causes,D,2005,2005,640,4631888,13.8
,Colorado,8,Drug-induced causes,D,2006,2006,660,4720423,14
,Colorado,8,Drug-induced causes,D,2007,2007,747,4803868,15.5
,Colorado,8,Drug-induced causes,D,2008,2008,760,4889730,15.5
,Colorado,8,Drug-induced causes,D,2009,2009,784,4972195,15.8
,Colorado,8,Drug-induced causes,D,2010,2010,676,5029196,13.4
,Colorado,8,Drug-induced causes,D,2011,2011,852,5116796,16.7
,Colorado,8,Drug-induced causes,D,2012,2012,826,5187582,15.9
,Colorado,8,Drug-induced causes,D,2013,2013,864,5268367,16.4
,Colorado,8,Drug-induced causes,D,2014,2014,917,5355866,17.1
,Colorado,8,Drug-induced causes,D,2015,2015,893,5456574,16.4
,Colorado,8,Drug-induced causes,D,2016,2016,973,5540545,17.6
,Colorado,8,Drug-induced causes,D,2017,2017,1050,5607154,18.7
,Colorado,8,Drug-induced causes,D,2018,2018,1038,5695564,18.2
,Colorado,8,Alcohol-induced causes,A,1999,1999,38,4226018,0.9
,Colorado,8,Alcohol-induced causes,A,2000,2000,26,4301261,0.6
,Colorado,8,Alcohol-induced causes,A,2001,2001,32,4425687,0.7
,Colorado,8,Alcohol-induced causes,A,2002,2002,38,4490406,0.8
,Colorado,8,Alcohol-induced causes,A,2003,2003,32,4528732,0.7
,Colorado,8,Alcohol-induced causes,A,2004,2004,27,4575013,0.6
,Colorado,8,Alcohol-induced causes,A,2005,2005,32,4631888,0.7
,Colorado,8,Alcohol-induced causes,A,2006,2006,30,4720423,0.6
,Colorado,8,Alcohol-induced causes,A,2007,2007,31,4803868,0.6
,Colorado,8,Alcohol-induced causes,A,2008,2008,41,4889730,0.8
,Colorado,8,Alcohol-induced causes,A,2009,2009,47,4972195,0.9
,Colorado,8,Alcohol-induced causes,A,2010,2010,45,5029196,0.9
,Colorado,8,Alcohol-induced causes,A,2011,2011,37,5116796,0.7
,Colorado,8,Alcohol-induced causes,A,2012,2012,98,5187582,1.9
,Colorado,8,Alcohol-induced causes,A,2013,2013,113,5268367,2.1
,Colorado,8,Alcohol-induced causes,A,2014,2014,95,5355866,1.8
,Colorado,8,Alcohol-induced causes,A,2015,2015,132,5456574,2.4
,Colorado,8,Alcohol-induced causes,A,2016,2016,172,5540545,3.1
,Colorado,8,Alcohol-induced causes,A,2017,2017,204,5607154,3.6
,Colorado,8,Alcohol-induced causes,A,2018,2018,230,5695564,4
,Colorado,8,All other non-drug and non-alcohol causes,O,1999,1999,1024,4226018,24.2
,Colorado,8,All other non-drug and non-alcohol causes,O,2000,2000,1041,4301261,24.2
,Colorado,8,All other non-drug and non-alcohol causes,O,2001,2001,1060,4425687,24
,Colorado,8,All other non-drug and non-alcohol causes,O,2002,2002,1111,4490406,24.7
,Colorado,8,All other non-drug and non-alcohol causes,O,2003,2003,1129,4528732,24.9
,Colorado,8,All other non-drug and non-alcohol causes,O,2004,2004,1070,4575013,23.4
,Colorado,8,All other non-drug and non-alcohol causes,O,2005,2005,1170,4631888,25.3
,Colorado,8,All other non-drug and non-alcohol causes,O,2006,2006,1173,4720423,24.8
,Colorado,8,All other non-drug and non-alcohol causes,O,2007,2007,1211,4803868,25.2
,Colorado,8,All other non-drug and non-alcohol causes,O,2008,2008,1303,4889730,26.6
,Colorado,8,All other non-drug and non-alcohol causes,O,2009,2009,1303,4972195,26.2
,Colorado,8,All other non-drug and non-alcohol causes,O,2010,2010,1299,5029196,25.8
,Colorado,8,All other non-drug and non-alcohol causes,O,2011,2011,1157,5116796,22.6
,Colorado,8,All other non-drug and non-alcohol causes,O,2012,2012,4226,5187582,81.5
,Colorado,8,All other non-drug and non-alcohol causes,O,2013,2013,4724,5268367,89.7
,Colorado,8,All other non-drug and non-alcohol causes,O,2014,2014,3848,5355866,71.8
,Colorado,8,All other non-drug and non-alcohol causes,O,2015,2015,5282,5456574,96.8
,Colorado,8,All other non-drug and non-alcohol causes,O,2016,2016,5606,5540545,101.2
,Colorado,8,All other non-drug and non-alcohol causes,O,2017,2017,5840,5607154,104.2
,Colorado,8,All other non-drug and non-alcohol causes,O,2018,2018,5857,5695564,102.8
,Connecticut,9,Drug-induced causes,D,1999,1999,330,3386401,9.7
,Connecticut,9,Drug-induced causes,D,2000,2000,336,3405565,9.9
,Connecticut,9,Drug-induced causes,D,2001,2001,326,3432835,9.5
,Connecticut,9,Drug-induced causes,D,2002,2002,377,3458749,10.9
,Connecticut,9,Drug-induced causes,D,2003,2003,338,3484336,9.7
,Connecticut,9,Drug-induced causes,D,2004,2004,360,3496094,10.3
,Connecticut,9,Drug-induced causes,D,2005,2005,352,3506956,10
,Connecticut,9,Drug-induced causes,D,2006,2006,458,3517460,13
,Connecticut,9,Drug-induced causes,D,2007,2007,444,3527270,12.6
,Connecticut,9,Drug-induced causes,D,2008,2008,397,3545579,11.2
,Connecticut,9,Drug-induced causes,D,2009,2009,397,3561807,11.1
,Connecticut,9,Drug-induced causes,D,2010,2010,372,3574097,10.4
,Connecticut,9,Drug-induced causes,D,2011,2011,416,3580709,11.6
,Connecticut,9,Drug-induced causes,D,2012,2012,451,3590347,12.6
,Connecticut,9,Drug-induced causes,D,2013,2013,600,3596080,16.7
,Connecticut,9,Drug-induced causes,D,2014,2014,639,3596677,17.8
,Connecticut,9,Drug-induced causes,D,2015,2015,827,3590886,23
,Connecticut,9,Drug-induced causes,D,2016,2016,997,3576452,27.9
,Connecticut,9,Drug-induced causes,D,2017,2017,1103,3588184,30.7
,Connecticut,9,Drug-induced causes,D,2018,2018,1105,3572665,30.9
,Connecticut,9,Alcohol-induced causes,A,2004,2004,12,3496094,Unreliable
,Connecticut,9,Alcohol-induced causes,A,2005,2005,21,3506956,0.6
,Connecticut,9,Alcohol-induced causes,A,2006,2006,20,3517460,0.6
,Connecticut,9,Alcohol-induced causes,A,2007,2007,27,3527270,0.8
,Connecticut,9,Alcohol-induced causes,A,2008,2008,16,3545579,Unreliable
,Connecticut,9,Alcohol-induced causes,A,2009,2009,22,3561807,0.6
,Connecticut,9,Alcohol-induced causes,A,2010,2010,23,3574097,0.6
,Connecticut,9,Alcohol-induced causes,A,2011,2011,23,3580709,0.6
,Connecticut,9,Alcohol-induced causes,A,2012,2012,24,3590347,0.7
,Connecticut,9,Alcohol-induced causes,A,2013,2013,24,3596080,0.7
,Connecticut,9,Alcohol-induced causes,A,2014,2014,25,3596677,0.7
,Connecticut,9,Alcohol-induced causes,A,2015,2015,26,3590886,0.7
,Connecticut,9,Alcohol-induced causes,A,2016,2016,31,3576452,0.9
,Connecticut,9,Alcohol-induced causes,A,2017,2017,29,3588184,0.8
,Connecticut,9,Alcohol-induced causes,A,2018,2018,30,3572665,0.8
,Connecticut,9,All other non-drug and non-alcohol causes,O,1999,1999,136,3386401,4
,Connecticut,9,All other non-drug and non-alcohol causes,O,2000,2000,198,3405565,5.8
,Connecticut,9,All other non-drug and non-alcohol causes,O,2001,2001,200,3432835,5.8
,Connecticut,9,All other non-drug and non-alcohol causes,O,2002,2002,182,3458749,5.3
,Connecticut,9,All other non-drug and non-alcohol causes,O,2003,2003,178,3484336,5.1
,Connecticut,9,All other non-drug and non-alcohol causes,O,2004,2004,1589,3496094,45.5
,Connecticut,9,All other non-drug and non-alcohol causes,O,2005,2005,2950,3506956,84.1
,Connecticut,9,All other non-drug and non-alcohol causes,O,2006,2006,3233,3517460,91.9
,Connecticut,9,All other non-drug and non-alcohol causes,O,2007,2007,3443,3527270,97.6
,Connecticut,9,All other non-drug and non-alcohol causes,O,2008,2008,3361,3545579,94.8
