Spencer,31.7%,21.8%,26.9%,55.8%
Springfield,36.5%,43.1%,35.5%,54.5%
State,34.6%,38.2%,40.4%,53.5%
Sterling,15.6%,38.3%,22.5%,38.5%
Stockbridge,40.0%,Not Available,Not Available,31.0%
Stoneham,28.1%,34.7%,50.8%,67.8%
Stoughton,28.5%,24.4%,44.1%,46.9%
Stow,Not Available,35.7%,Not Available,Not Available
Sturbridge,9.0%,28.1%,12.5%,39.3%
Sudbury,Not Available,13.1%,18.8%,42.3%
Sunderland,30.8%,Not Available,Not Available,40.0%
Sutton,16.7%,Not Available,50.0%,53.7%
Swampscott,24.2%,32.5%,29.3%,46.5%
Swansea,41.4%,27.9%,44.8%,62.3%
Taunton,35.0%,34.6%,40.0%,56.2%
Templeton,42.3%,44.2%,24.6%,56.5%
Tewksbury,39.9%,48.9%,41.5%,50.1%
Tisbury,Not Available,14.1%,24.7%,11.5%
Tolland,Not Available,Not Available,Not Available,Not Available
Topsfield,25.6%,32.7%,30.3%,45.5%
Townsend,36.3%,42.6%,38.4%,58.3%
Truro,Not Available,Not Available,Not Available,40.0%
Tyngsborough,49.1%,33.3%,49.7%,51.0%
Tyringham,Not Available,Not Available,Not Available,Not Available
Upton,19.2%,Not Available,Not Available,67.5%
Uxbridge,31.5%,33.9%,44.5%,62.4%
Wakefield,28.5%,37.3%,45.3%,52.7%
Wales,Not Available,Not Available,30.0%,37.0%
Walpole,19.1%,20.1%,28.6%,36.6%
Waltham,20.1%,26.0%,32.9%,41.2%
Ware,22.8%,25.6%,14.1%,63.0%
Wareham,17.2%,22.3%,26.3%,50.2%
Warren,28.2%,17.0%,22.8%,38.2%
Warwick,Not Available,Not Available,Not Available,Not Available
Washington,Not Available,Not Available,Not Available,Not Available
Watertown,25.1%,31.9%,34.4%,42.4%
Wayland,15.2%,Not Available,Not Available,Not Available
Webster,28.7%,27.4%,24.7%,45.7%
Wellesley,11.7%,Not Available,12.5%,18.9%
Wellfleet,Not Available,18.9%,22.6%,36.0%
Wendell,Not Available,Not Available,Not Available,Not Available
Wenham,46.7%,Not Available,Not Available,Not Available
Westborough,56.3%,59.3%,22.0%,48.6%
Westboylston,22.0%,30.9%,23.6%,61.9%
Westbridgewater,17.8%,27.3%,31.1%,67.6%
Westbrookfield,20.0%,Not Available,37.5%,30.0%
Westfield,20.4%,31.8%,30.9%,50.8%
Westford,23.8%,26.2%,33.3%,39.3%
Westhampton,Not Available,Not Available,Not Available,Not Available
Westminster,44.3%,33.3%,16.0%,50.0%
Westnewbury,Not Available,36.4%,33.3%,Not Available
Weston,25.8%,30.0%,Not Available,Not Available
Westport,30.3%,33.0%,47.9%,48.0%
Westspringfield,29.0%,35.6%,32.9%,61.5%
Weststockbridge,Not Available,Not Available,Not Available,Not Available
Westtisbury,Not Available,Not Available,Not Available,Not Available
Westwood,19.5%,19.3%,17.7%,38.3%
Weymouth,28.2%,40.3%,56.4%,63.8%
Whately,Not Available,28.6%,Not Available,Not Available
Whitman,19.9%,25.1%,48.9%,65.4%
Wilbraham,Not Available,26.1%,29.5%,54.2%
Williamsburg,40.5%,34.4%,Not Available,57.1%
Williamstown,Not Available,Not Available,Not Available,30.8%
Wilmington,34.2%,38.5%,47.6%,66.2%
Winchendon,11.9%,47.3%,42.4%,48.7%
Winchester,14.6%,43.9%,27.6%,52.3%
Windsor,55.0%,41.7%,Not Available,Not Available
Winthrop,37.5%,47.4%,55.6%,44.7%
Woburn,40.1%,43.4%,52.5%,65.8%
Worcester,56.4%,58.0%,49.0%,65.2%
Worthington,36.7%,27.6%,Not Available,Not Available
Wrentham,13.3%,26.7%,15.4%,54.1%
Yarmouth,28.3%,22.8%,18.0%,40.0%
