"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
90670,Pneumococcal vaccine for injection into muscle,Prevnar 13,Pneumococcal 13-Valent Vaccine,"$19,045,358","140,244","140,067","137,909",$135.80,$135.97,$138.10,"$103,579,525","720,952","720,764","716,661",$143.67,$143.71,$144.53,"$913,822,602","5,754,966","5,743,305","5,693,733",$158.79,$159.11,$160.50,"$667,483,118","4,006,449","3,953,861","3,925,000",$166.60,$168.82,$170.06,"$477,149,945","2,679,110","2,678,876","2,660,076",$178.10,$178.12,$179.37,$189.74,6.90%,7.01%
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",Vaccine Influenza Muscle Preservative/Antibiotic Free (Flublok)**, , , , , , , , ,"$257,074","19,578","9,470","9,392",$13.13,$27.15,$27.37,"$316,963","11,368","10,351","10,309",$27.88,$30.62,$30.75,"$397,623","11,086","11,088","11,040",$35.87,$35.86,$36.02,"$272,092","6,836","6,836","6,795",$39.80,$39.80,$40.04,$40.61,10.97%,44.72%
90674,"Influenza virus vaccine, quadrivalent (ccIIV4)","Influenza virus vaccine, quadrivalent (ccIIV4)**", , , , , , , , , , , , , , , , , , , , , , ,"$2,004,584","89,883","89,937","89,900",$22.30,$22.29,$22.30,"$20,985,203","909,621","909,588","906,650",$23.07,$23.07,$23.15,$23.21,3.44%,3.44%
90675,Vaccine for rabies injection into muscle,Imovax Rabies Vaccine*,"Rabies Vacc, Human Diploid/PF*","$2,251,120","10,788","9,748","3,637",$208.67,$230.93,$618.95,"$2,652,773","11,732","10,641","3,972",$226.11,$249.30,$667.87,"$2,757,446","11,640","10,620","3,911",$236.89,$259.65,$705.05,"$3,192,386","12,132","11,128","4,098",$263.14,$286.88,$779.01,"$3,423,669","12,780","11,686","4,333",$267.89,$292.97,$790.14,$271.26,1.81%,6.45%
90685,"Vaccine for influenza for administration into muscle, 0.25 ml dosage","Vaccine Influenza Muscle (Fluzone), 0.25 mL, Age 6-35 Months**", ,"$13,470",484,484,483,$27.83,$27.83,$27.89,"$42,589","2,415","2,414","2,408",$17.64,$17.64,$17.69,"$28,121","1,408","1,408","1,404",$19.97,$19.97,$20.03,"$18,116",896,895,885,$20.22,$20.24,$20.47,"$41,034","1,801","1,801","1,794",$22.78,$22.78,$22.87,$25.00,12.69%,-4.88%
90686,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Muscle (Fluzone), 0.5 mL,  Age 3+ Years **", ,"$9,171,428","520,607","520,582","520,158",$17.62,$17.62,$17.63,"$21,501,503","1,266,640","1,266,518","1,258,712",$16.98,$16.98,$17.08,"$28,862,449","1,690,255","1,689,938","1,676,745",$17.08,$17.08,$17.21,"$32,877,449","1,849,021","1,848,745","1,822,014",$17.78,$17.78,$18.04,"$37,466,721","2,078,306","2,077,152","2,041,717",$18.03,$18.04,$18.35,$19.03,1.39%,0.58%
90687,"Vaccine for influenza for administration into muscle, 0.25 ml dosage","Vaccine Influenza Muscle (Fluzone), 5 mL, Age 6-35 Months**", , , , , , , , ,"$1,827",160,160,160,$11.42,$11.42,$11.42,"$5,477",449,449,448,$12.20,$12.20,$12.23,"$17,536",945,945,939,$18.56,$18.56,$18.67,"$22,345","2,651","2,651","2,636",$8.43,$8.43,$8.48,$9.40,-54.57%,-9.61%
90688,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Muscle (Fluzone), 5 mL, Age 3+ Years**", ,"$520,461","31,710","31,709","31,706",$16.41,$16.41,$16.42,"$9,452,493","587,421","587,396","585,769",$16.09,$16.09,$16.14,"$14,571,801","846,466","846,436","841,926",$17.21,$17.22,$17.31,"$16,479,695","960,485","960,165","952,978",$17.16,$17.16,$17.29,"$15,362,096","887,640","887,349","877,293",$17.31,$17.31,$17.51,$17.84,0.87%,1.33%
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",Tenivac*,Tetanus-Diphtheria Toxoids/PF*,"$1,060,540","54,517","54,509","54,383",$19.45,$19.46,$19.50,"$1,168,264","56,611","56,611","56,496",$20.64,$20.64,$20.68,"$1,377,110","69,171","69,170","69,047",$19.91,$19.91,$19.94,"$1,876,689","83,504","83,502","83,325",$22.47,$22.47,$22.52,"$1,696,725","77,314","77,312","77,172",$21.95,$21.95,$21.99,$22.39,-2.35%,3.06%
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",Adacel Tdap*,"Diph,pertuss(Acell),tet Vac/PF*","$1,374,204","40,450","40,445","40,370",$33.97,$33.98,$34.04,"$1,461,369","43,654","43,647","43,565",$33.48,$33.48,$33.54,"$2,088,363","65,790","65,783","65,645",$31.74,$31.75,$31.81,"$3,186,358","102,684","102,682","102,422",$31.03,$31.03,$31.11,"$2,843,254","93,216","93,214","93,010",$30.50,$30.50,$30.57,$30.90,-1.70%,-2.66%
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older","Vaccine Pneumococcal Polysaccharide Injection Skin/Muscle, Age 2+ Years**", ,"$127,242,807","1,997,461","1,995,813","1,971,980",$63.70,$63.75,$64.53,"$134,044,431","1,970,905","1,960,236","1,938,127",$68.01,$68.38,$69.16,"$88,463,074","1,226,273","1,215,896","1,201,651",$72.14,$72.76,$73.62,"$113,329,582","1,422,325","1,399,456","1,388,988",$79.68,$80.98,$81.59,"$158,317,949","1,779,851","1,779,521","1,768,277",$88.95,$88.97,$89.53,$98.85,11.64%,8.70%
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient","Vaccine Hepatitis B 3 Dose Injection Muscle,  Immunosuppressed**", ,"$11,837,038","97,939","96,797","42,940",$120.86,$122.29,$275.66,"$12,312,758","103,064","101,468","45,440",$119.47,$121.35,$270.97,"$13,815,419","115,823","114,559","50,232",$119.28,$120.60,$275.03,"$13,480,284","111,524","110,419","48,881",$120.87,$122.08,$275.78,"$14,380,386","117,380","116,252","50,972",$122.51,$123.70,$282.12,$124.78,1.36%,0.34%
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient","Vaccine Hepatitis B 2 Dose Injection Muscle, Adolescent**", ,"$16,197",398,387,324,$40.70,$41.85,$49.99,"$14,774",466,463,387,$31.70,$31.91,$38.18,"$13,395",464,462,404,$28.87,$28.99,$33.16,"$12,248",422,420,353,$29.02,$29.16,$34.70,"$11,852",391,388,335,$30.31,$30.55,$35.38,$25.76,4.44%,-7.10%
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients","Vaccine Hepatitis B 3 Dose Injection Muscle, Pediatric/Adolescent**", ,"$79,457","1,729","1,426","1,084",$45.96,$55.72,$73.30,"$71,014","1,721","1,310","1,035",$41.26,$54.21,$68.61,"$74,674","1,615","1,271",984,$46.24,$58.75,$75.89,"$46,467","1,475","1,177",924,$31.50,$39.48,$50.29,"$45,063","1,351","1,159",901,$33.36,$38.88,$50.01,$25.76,5.88%,-7.70%
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,"Vaccine Hepatitis B 3 Dose Injection Muscle, Adult**", ,"$5,553,439","97,938","94,087","59,813",$56.70,$59.02,$92.85,"$5,390,396","96,557","95,034","61,318",$55.83,$56.72,$87.91,"$5,534,319","97,560","96,348","62,490",$56.73,$57.44,$88.56,"$5,474,191","93,808","92,630","60,473",$58.36,$59.10,$90.52,"$5,724,295","96,854","95,981","61,766",$59.10,$59.64,$92.68,$62.39,1.28%,1.04%
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient","Vaccine Hepatitis B 4 Dose Injection Muscle, Immunosuppressed**", ,"$17,128,726","144,201","139,226","62,309",$118.78,$123.03,$274.90,"$15,707,632","133,083","129,353","60,477",$118.03,$121.43,$259.73,"$14,940,343","127,374","123,977","57,585",$117.30,$120.51,$259.45,"$15,218,388","127,377","122,853","57,036",$119.48,$123.87,$266.82,"$15,260,681","124,023","121,276","56,923",$123.05,$125.83,$268.09,$124.78,2.99%,0.89%
A9575,"Injection, gadoterate meglumine, 0.1 ml",Dotarem,Gadoterate Meglumine, , , , , , , ,"$189,916","430,398","2,742","2,524",$0.44,$69.26,$75.24,"$359,152","1,784,620","14,403","13,508",$0.20,$24.94,$26.59,"$1,629,129","8,146,138","59,503","53,719",$0.20,$27.38,$30.33,"$2,376,941","11,294,158","84,349","75,564",$0.21,$28.18,$31.46,$0.21,5.24%,-21.87%
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol,"$375,975","200,400","12,589","11,598",$1.88,$29.87,$32.42,"$345,824","191,047","12,025","11,081",$1.81,$28.76,$31.21,"$308,407","184,643","11,883","11,010",$1.67,$25.95,$28.01,"$258,967","157,156","10,167","9,504",$1.65,$25.47,$27.25,"$275,305","163,703","11,115","10,334",$1.68,$24.77,$26.64,$1.71,2.06%,-2.70%
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine,"$2,219,759","931,171","66,248","59,881",$2.38,$33.51,$37.07,"$2,076,867","958,074","68,961","62,611",$2.17,$30.12,$33.17,"$2,223,923","1,044,611","73,651","66,534",$2.13,$30.20,$33.43,"$2,354,159","1,146,154","81,240","72,810",$2.05,$28.98,$32.33,"$2,352,563","1,155,069","84,418","75,475",$2.04,$27.87,$31.17,$2.08,-0.84%,-3.86%
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine,"$153,017","73,552","6,258","5,555",$2.08,$24.45,$27.55,"$102,199","66,097","5,907","5,279",$1.55,$17.30,$19.36,"$128,750","61,711","5,766","5,141",$2.09,$22.33,$25.04,"$162,736","81,034","7,422","6,655",$2.01,$21.93,$24.45,"$155,044","76,861","6,425","5,713",$2.02,$24.13,$27.14,$2.01,0.45%,-0.77%
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*,"$8,975,633","4,926,217","318,081","285,366",$1.82,$28.22,$31.45,"$8,079,989","4,178,018","272,730","245,814",$1.93,$29.63,$32.87,"$7,181,045","3,748,122","243,324","219,409",$1.92,$29.51,$32.73,"$5,463,962","2,995,921","194,633","175,323",$1.82,$28.07,$31.17,"$4,573,767","2,489,547","161,907","146,076",$1.84,$28.25,$31.31,$1.90,0.73%,0.21%
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate DIsodium,"$745,607","49,135","5,090","4,212",$15.17,$146.48,$177.02,"$766,425","52,988","5,532","4,520",$14.46,$138.54,$169.56,"$791,618","58,732","6,092","4,961",$13.48,$129.94,$159.57,"$806,015","60,003","6,257","5,002",$13.43,$128.82,$161.14,"$896,875","66,618","6,907","5,474",$13.46,$129.85,$163.84,$13.96,0.22%,-2.95%
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol,"$2,229,297","5,316,659","77,004","69,058",$0.42,$28.95,$32.28,"$3,236,097","8,200,135","116,917","103,577",$0.39,$27.68,$31.24,"$4,019,956","10,488,303","148,201","130,196",$0.38,$27.13,$30.88,"$4,520,880","12,071,137","163,978","143,646",$0.37,$27.57,$31.47,"$5,319,094","14,526,290","189,706","166,064",$0.37,$28.04,$32.03,$0.38,-2.23%,-3.33%
J0129,"Injection, abatacept, 10 mg",Orencia*,Abatacept*,"$290,205,707","12,958,446","171,176","20,790",$22.40,"$1,695.36","$13,958.91","$341,958,941","12,530,024","166,213","20,137",$27.29,"$2,057.35","$16,981.62","$452,111,367","13,159,445","175,161","21,167",$34.36,"$2,581.12","$21,359.26","$585,416,468","14,351,804","190,822","22,852",$40.79,"$3,067.87","$25,617.73","$700,099,533","15,128,695","201,046","24,409",$46.28,"$3,482.29","$28,682.02",$47.48,13.45%,19.90%
J0130,"Injection abciximab, 10 mg",Reopro,Abciximab,"$1,425,845","2,716","1,124","1,066",$524.98,"$1,268.55","$1,337.57","$1,626,251","2,561","1,012",964,$635.01,"$1,606.97","$1,686.98","$240,418",519,256,213,$463.23,$939.13,"$1,128.72","$64,034",400,190,134,$160.09,$337.02,$477.87,"$127,712",491,225,163,$260.11,$567.61,$783.51,"$1,187.59",62.48%,-16.10%
J0132,"Injection, acetylcysteine, 100 mg",Acetadote*,Acetylcysteine*,"$549,866","194,697","1,446","1,342",$2.82,$380.27,$409.74,"$271,843","115,433","1,417","1,266",$2.35,$191.84,$214.73,"$190,514","100,501","1,366","1,187",$1.90,$139.47,$160.50,"$112,297","71,084","1,540","1,059",$1.58,$72.92,$106.04,"$3,326","2,538",668,82,$1.31,$4.98,$40.56,$1.35,-17.05%,-17.47%
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,"$197,172","513,049",486,154,$0.38,$405.70,"$1,280.34","$253,321","640,741",595,196,$0.40,$425.75,"$1,292.45","$283,732","711,586",677,173,$0.40,$419.10,"$1,640.07","$226,635","570,114",564,176,$0.40,$401.84,"$1,287.70","$44,486","611,906",485,168,$0.07,$91.72,$264.80,$0.07,-81.71%,-34.05%
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenocard*,Adenosine*, , , , , , , , , , , , , , ,"$2,478,543","2,827,461","53,683","53,024",$0.88,$46.17,$46.74,"$1,849,143","2,448,287","46,494","46,008",$0.76,$39.77,$40.19,"$1,293,425","2,217,427","41,953","41,537",$0.58,$30.83,$31.14,$0.59,-22.77%,-18.43%
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin*,Epinephrine*,"$3,030","16,870","9,819","4,989",$0.18,$0.31,$0.61,"$3,183","15,094","9,434","4,703",$0.21,$0.34,$0.68,"$4,021","17,303","9,213","4,856",$0.23,$0.44,$0.83,"$6,497","17,640","9,697","5,513",$0.37,$0.67,$1.18,"$11,229","14,455","8,053","4,319",$0.78,$1.39,$2.60,$0.46,110.93%,44.21%
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,"$1,077,060,780","1,115,704","518,628","108,421",$965.36,"$2,076.75","$9,934.06","$1,294,858,674","1,344,743","625,096","132,473",$962.90,"$2,071.46","$9,774.51","$1,813,101,911","1,883,061","866,552","179,986",$962.85,"$2,092.32","$10,073.57","$2,207,882,153","2,292,464","1,047,032","210,340",$963.10,"$2,108.71","$10,496.73","$2,465,832,792","2,566,135","1,162,647","229,369",$960.91,"$2,120.88","$10,750.51",$978.30,-0.23%,-0.12%
J0180,"Injection, agalsidase beta, 1 mg",Fabrazyme,Agalsidase Beta,"$41,440,447","292,945","3,204",241,$141.46,"$12,933.97","$171,952.06","$47,085,085","321,130","3,411",269,$146.62,"$13,803.89","$175,037.49","$51,445,132","337,581","3,660",260,$152.39,"$14,056.05","$197,865.89","$57,677,076","364,057","3,968",273,$158.43,"$14,535.55","$211,271.34","$60,312,355","365,505","3,949",291,$165.01,"$15,272.82","$207,258.95",$168.23,4.15%,3.92%
J0202,"Injection, alemtuzumab, 1 mg",Lemtrada,Alemtuzumab, , , , , , , , , , , , , , ,"$11,052,289","6,476",463,132,"$1,706.65","$23,871.03","$83,729.46","$59,832,221","36,043","2,527",727,"$1,660.02","$23,677.17","$82,300.17","$56,838,022","34,182","2,398",758,"$1,662.81","$23,702.26","$74,984.20","$1,766.08",0.17%,-1.29%
J0207,"Injection, amifostine, 500 mg",Amifostine*,Amifostine Crystalline*,"$1,482,123","5,006","3,769",679,$296.07,$393.24,"$2,182.80","$1,211,451","4,062","2,970",522,$298.25,$407.90,"$2,320.79","$1,355,815","3,521","2,546",487,$385.07,$532.53,"$2,784.01","$1,447,204","3,707","2,144",436,$390.40,$675.00,"$3,319.28","$3,153,870","4,424","1,988",418,$712.90,"$1,586.45","$7,545.14",$731.30,82.61%,24.57%
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa,"$49,427,210","326,423","1,852",111,$151.42,"$26,688.56","$445,290.18","$55,621,042","389,205","1,992",118,$142.91,"$27,922.21","$471,364.76","$55,432,045","367,699","1,899",113,$150.75,"$29,190.12","$490,549.07","$61,309,044","398,380","2,016",122,$153.90,"$30,411.23","$502,533.14","$66,141,626","422,348","1,973",121,$156.60,"$33,523.38","$546,625.01",$159.73,1.76%,0.85%
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP*,Alpha-1-Proteinase Inhibitor*,"$49,181,576","12,543,715","14,815",695,$3.92,"$3,319.71","$70,764.86","$55,665,458","13,777,573","15,978",752,$4.04,"$3,483.88","$74,023.21","$67,809,900","15,822,489","18,495",920,$4.29,"$3,666.39","$73,706.41","$89,347,240","19,725,683","23,322","1,096",$4.53,"$3,831.03","$81,521.20","$104,221,730","22,198,003","26,538","1,217",$4.70,"$3,927.26","$85,638.23",$4.89,3.66%,4.61%
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia,Alpha-1-Proteinase Inhibitor,"$3,593,058","916,761","1,176",67,$3.92,"$3,055.32","$53,627.73","$4,158,832","1,063,540","1,328",78,$3.91,"$3,131.65","$53,318.35","$5,869,885","1,467,804","1,766",118,$4.00,"$3,323.83","$49,744.79","$8,370,808","1,985,543","2,483",142,$4.22,"$3,371.25","$58,949.36","$9,244,060","2,152,629","2,870",122,$4.29,"$3,220.93","$75,770.98",$4.48,1.86%,2.31%
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,"$26,695","24,755","3,941","1,294",$1.08,$6.77,$20.63,"$45,840","35,884","5,736","1,775",$1.28,$7.99,$25.83,"$45,549","39,244","6,447","2,247",$1.16,$7.07,$20.27,"$56,617","39,894","6,364","2,322",$1.42,$8.90,$24.38,"$67,713","38,464","5,749","2,292",$1.76,$11.78,$29.54,$1.72,24.05%,13.04%
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline,"$68,913","78,929","71,006","67,198",$0.87,$0.97,$1.03,"$217,413","93,907","85,184","80,885",$2.32,$2.55,$2.69,"$467,864","94,261","84,717","80,895",$4.96,$5.52,$5.78,"$663,006","97,340","86,196","83,056",$6.81,$7.69,$7.98,"$687,717","98,828","85,428","82,233",$6.96,$8.05,$8.36,$8.36,2.16%,68.02%
J0285,"Injection, amphotericin b, 50 mg",Amphotericin B,Amphotericin B,"$4,425",317,164,68,$13.97,$26.98,$65.08,"$3,723",256,186,86,$14.54,$20.01,$43.29,"$5,064",363,227,72,$13.95,$22.31,$70.34,"$8,210",467,202,72,$17.58,$40.65,$114.03,"$9,515",496,208,100,$19.18,$45.74,$95.15,$32.12,9.11%,8.25%
J0287,"Injection, amphotericin b lipid complex, 10 mg",Abelcet,Amphotericin B Lipid Complex,"$634,584","39,745","1,170",370,$15.97,$542.38,"$1,715.09","$291,328","21,151",719,299,$13.77,$405.19,$974.34,"$225,904","15,468",776,348,$14.60,$291.11,$649.15,"$278,074","16,663",786,248,$16.69,$353.78,"$1,121.27","$185,330","13,940","1,125",341,$13.29,$164.74,$543.49,$13.65,-20.33%,-4.47%
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome,Amphotericin B Liposome,"$3,248,250","155,452","2,343",352,$20.90,"$1,386.36","$9,227.98","$3,279,132","136,007","1,803",327,$24.11,"$1,818.71","$10,027.93","$2,922,168","120,728","1,642",307,$24.20,"$1,779.64","$9,518.46","$2,844,164","115,703","1,584",318,$24.58,"$1,795.56","$8,943.91","$2,613,665","131,443","2,168",286,$19.88,"$1,205.57","$9,138.69",$20.39,-19.11%,-1.23%
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,"$41,566","25,411","6,820","3,896",$1.64,$6.09,$10.67,"$19,990","14,225","5,474","3,474",$1.41,$3.65,$5.75,"$16,998","14,360","5,143","3,014",$1.18,$3.31,$5.64,"$29,985","20,420","5,033","2,681",$1.47,$5.96,$11.18,"$21,881","17,019","4,351","2,557",$1.29,$5.03,$8.56,$1.17,-12.45%,-5.84%
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam*,Ampicillin Sodium/Sulbactam Na*,"$18,538","8,119","2,202","1,211",$2.28,$8.42,$15.31,"$15,728","9,183","2,043","1,136",$1.71,$7.70,$13.84,"$16,927","8,005","2,073","1,034",$2.11,$8.17,$16.37,"$25,996","8,761","1,992",984,$2.97,$13.05,$26.42,"$27,182","7,892","2,006","1,143",$3.44,$13.55,$23.78,$3.06,16.08%,10.82%
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,"$5,814",999,873,787,$5.82,$6.66,$7.39,"$4,725",987,932,798,$4.79,$5.07,$5.92,"$10,157",730,674,603,$13.91,$15.07,$16.84,"$13,139",899,800,713,$14.62,$16.42,$18.43,"$9,551",860,769,701,$11.11,$12.42,$13.62,$3.56,-24.01%,17.52%
J0401,"Injection, aripiprazole, extended release, 1 mg",Abilify Maintena,Aripiprazole, , , , , , , ,"$803,857","214,967",713,249,$3.74,"$1,127.43","$3,228.34","$1,796,435","454,817","1,553",485,$3.95,"$1,156.75","$3,703.99","$2,377,029","571,202","1,968",475,$4.16,"$1,207.84","$5,004.27","$3,203,543","768,932","2,493",548,$4.17,"$1,285.02","$5,845.88",$4.71,0.11%,3.67%
J0456,"Injection, azithromycin, 500 mg",Azithromycin*,Azithromycin*,"$12,048","3,496","2,787",884,$3.45,$4.32,$13.63,"$9,359","2,765","2,453",940,$3.38,$3.82,$9.96,"$8,312","2,434","2,195",815,$3.42,$3.79,$10.20,"$7,583","1,710","1,437",736,$4.43,$5.28,$10.30,"$8,168","2,829","2,314",723,$2.89,$3.53,$11.30,$3.46,-34.89%,-4.33%
