State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Amherst,Other,5.3%,8.4%,7.6%,6.3%,6.9%,5.2%,not available,not available,not available,not available
Andover,Alcohol,60.1%,55.0%,59.1%,47.2%,56.1%,61.9%,67.3%,59.7%,46.6%,45.4%
Andover,Marijuana,7.0%,8.6%,5.3%,12.4%,9.0%,9.4%,7.7%,10.5%,9.3%,4.6%
Andover,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Andover,Opioids,25.9%,27.2%,26.4%,30.9%,27.7%,23.1%,18.0%,27.5%,40.4%,44.8%
Andover,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Aquinnah,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Aquinnah,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Aquinnah,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Aquinnah,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Aquinnah,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Arlington,Alcohol,47.0%,48.8%,43.7%,48.3%,45.3%,41.7%,34.7%,37.5%,40.6%,37.1%
Arlington,Marijuana,9.1%,8.3%,10.4%,7.2%,6.6%,5.7%,2.7%,3.9%,5.0%,not available
Arlington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Arlington,Opioids,37.0%,34.3%,38.1%,37.3%,43.0%,47.9%,57.0%,49.8%,47.9%,56.3%
Arlington,Other,5.0%,8.7%,6.5%,6.3%,3.1%,3.3%,5.4%,8.5%,5.0%,2.5%
Ashburnham,Alcohol,39.5%,62.2%,53.3%,45.9%,50.0%,70.6%,65.4%,29.4%,43.6%,37.2%
Ashburnham,Marijuana,not available,not available,not available,not available,28.6%,not available,not available,not available,not available,not available
Ashburnham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashburnham,Opioids,46.5%,27.0%,28.3%,37.8%,not available,not available,23.1%,68.6%,30.8%,44.2%
Ashburnham,Other,not available,not available,10.0%,not available,not available,not available,not available,not available,not available,not available
Ashby,Alcohol,37.9%,53.8%,29.0%,48.3%,70.7%,47.6%,36.0%,40.0%,35.0%,40.7%
Ashby,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashby,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashby,Opioids,58.6%,34.6%,54.8%,27.6%,17.1%,28.6%,44.0%,42.9%,50.0%,51.9%
Ashby,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashfield,Alcohol,not available,87.5%,52.6%,60.0%,85.7%,66.7%,not available,not available,not available,not available
Ashfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashfield,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashland,Alcohol,45.9%,49.7%,52.9%,55.6%,51.1%,58.7%,48.5%,48.9%,40.3%,56.1%
Ashland,Marijuana,8.1%,12.2%,9.0%,11.3%,13.3%,not available,11.4%,8.1%,7.8%,not available
Ashland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ashland,Opioids,39.4%,30.4%,26.5%,16.5%,24.4%,28.1%,34.1%,38.6%,39.6%,37.2%
Ashland,Other,5.9%,7.2%,10.3%,14.3%,10.4%,7.4%,4.8%,4.4%,10.1%,not available
Athol,Alcohol,48.2%,50.7%,45.9%,50.5%,47.6%,44.6%,40.4%,50.0%,49.6%,33.3%
Athol,Marijuana,8.5%,6.4%,13.4%,8.2%,13.9%,8.3%,8.4%,not available,9.2%,5.7%
Athol,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Athol,Opioids,37.5%,37.1%,32.5%,36.0%,31.1%,41.4%,41.5%,38.9%,35.3%,58.8%
Athol,Other,5.0%,4.3%,5.1%,4.3%,5.9%,4.5%,7.3%,not available,5.0%,not available
Attleboro,Alcohol,62.9%,57.1%,61.5%,66.7%,56.9%,56.0%,52.1%,48.5%,47.4%,41.7%
Attleboro,Marijuana,4.4%,6.8%,6.8%,4.6%,6.0%,5.3%,4.4%,5.4%,4.0%,7.0%
Attleboro,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Attleboro,Opioids,26.5%,29.4%,25.3%,18.3%,25.6%,31.8%,37.0%,43.3%,44.0%,48.6%
Attleboro,Other,6.2%,6.2%,6.2%,7.4%,10.9%,5.9%,6.5%,2.2%,3.6%,1.6%
Auburn,Alcohol,72.6%,59.7%,65.0%,60.1%,58.7%,51.0%,41.8%,32.5%,32.7%,33.3%
Auburn,Marijuana,4.8%,6.7%,not available,6.5%,9.9%,8.8%,5.7%,8.3%,8.0%,4.3%
Auburn,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Auburn,Opioids,17.7%,21.6%,21.7%,23.9%,22.3%,34.0%,41.2%,55.8%,54.4%,55.1%
Auburn,Other,not available,11.9%,not available,5.8%,5.8%,4.8%,10.8%,not available,not available,7.2%
Avon,Alcohol,45.3%,59.6%,46.2%,46.7%,40.0%,46.3%,41.2%,40.4%,31.1%,28.8%
Avon,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Avon,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Avon,Opioids,30.2%,19.1%,27.7%,44.0%,48.3%,50.0%,47.0%,56.1%,55.7%,54.2%
Avon,Other,18.9%,not available,13.8%,not available,not available,not available,not available,not available,not available,not available
Ayer,Alcohol,50.6%,59.7%,60.5%,48.0%,29.1%,37.3%,57.6%,46.0%,37.5%,30.2%
Ayer,Marijuana,7.9%,not available,not available,not available,not available,11.8%,not available,not available,not available,not available
Ayer,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ayer,Opioids,24.7%,20.9%,23.5%,45.9%,62.0%,49.1%,38.8%,43.7%,60.5%,63.2%
Ayer,Other,10.1%,not available,7.4%,not available,not available,not available,not available,not available,not available,not available
Barnstable,Alcohol,58.2%,56.4%,57.3%,52.6%,50.2%,48.7%,43.6%,41.1%,42.4%,39.5%
Barnstable,Marijuana,6.7%,3.8%,4.6%,7.0%,4.6%,4.4%,4.0%,4.2%,2.7%,2.9%
Barnstable,None,not available,0.7%,1.5%,0.9%,not available,not available,not available,not available,not available,not available
Barnstable,Opioids,25.9%,30.0%,27.9%,30.6%,38.7%,42.5%,47.9%,48.6%,49.6%,52.3%
Barnstable,Other,9.3%,9.1%,8.6%,9.0%,6.4%,4.4%,4.5%,6.0%,4.9%,5.2%
Barre,Alcohol,50.0%,60.5%,42.1%,47.3%,48.3%,44.1%,44.8%,34.9%,29.6%,45.3%
Barre,Marijuana,18.2%,11.1%,14.5%,16.4%,10.0%,13.2%,not available,not available,18.3%,13.2%
Barre,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Barre,Opioids,12.1%,23.5%,32.9%,20.0%,25.0%,36.7%,41.8%,54.0%,46.5%,35.8%
Barre,Other,13.6%,not available,not available,not available,10.0%,not available,not available,not available,not available,not available
Becket,Alcohol,56.2%,48.6%,43.8%,54.3%,60.0%,50.0%,85.3%,52.0%,54.5%,52.4%
Becket,Marijuana,31.2%,not available,12.5%,not available,not available,not available,not available,not available,not available,not available
Becket,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Becket,Opioids,not available,16.2%,27.1%,13.0%,not available,42.8%,not available,36.0%,36.4%,38.1%
Becket,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bedford,Alcohol,53.7%,49.2%,50.7%,49.1%,43.3%,53.2%,43.9%,52.7%,51.6%,36.5%
Bedford,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bedford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bedford,Opioids,31.5%,42.8%,41.8%,37.7%,50.0%,34.0%,35.1%,36.4%,32.3%,53.8%
Bedford,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Belchertown,Alcohol,55.7%,58.4%,53.2%,51.9%,57.6%,63.8%,56.7%,54.0%,40.0%,50.4%
Belchertown,Marijuana,11.4%,9.0%,not available,13.5%,7.1%,7.6%,not available,not available,not available,not available
Belchertown,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Belchertown,Opioids,16.5%,18.0%,38.6%,24.0%,27.3%,21.9%,25.6%,42.0%,51.3%,40.9%
Belchertown,Other,not available,not available,not available,9.6%,7.1%,6.7%,not available,not available,not available,not available
Bellingham,Alcohol,55.7%,57.0%,56.8%,45.2%,53.5%,50.4%,32.7%,34.3%,42.7%,34.7%
Bellingham,Marijuana,10.7%,9.3%,9.1%,11.3%,8.8%,not available,8.0%,7.1%,not available,not available
Bellingham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bellingham,Opioids,18.0%,26.2%,22.0%,29.9%,31.6%,45.6%,57.6%,49.5%,49.7%,57.8%
Bellingham,Other,11.5%,6.5%,8.3%,not available,not available,not available,not available,6.1%,not available,not available
Belmont,Alcohol,58.1%,53.5%,48.2%,52.5%,41.5%,54.8%,57.4%,48.8%,60.7%,47.0%
Belmont,Marijuana,9.7%,not available,9.4%,8.1%,9.4%,not available,5.7%,not available,not available,not available
Belmont,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Belmont,Opioids,22.6%,32.4%,22.4%,27.3%,40.6%,35.7%,35.3%,42.8%,34.8%,42.4%
Belmont,Other,not available,8.1%,9.4%,11.1%,not available,not available,not available,not available,not available,not available
Berkley,Alcohol,50.0%,32.3%,32.9%,43.6%,38.0%,28.0%,30.4%,26.5%,31.9%,24.7%
Berkley,Marijuana,not available,not available,10.5%,9.0%,not available,5.1%,7.6%,not available,6.6%,not available
Berkley,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Berkley,Opioids,28.1%,46.8%,44.7%,37.2%,55.0%,62.7%,55.4%,59.0%,56.1%,60.3%
Berkley,Other,not available,11.3%,not available,not available,not available,not available,not available,not available,not available,11.0%
Berlin,Alcohol,45.8%,63.6%,44.1%,61.1%,83.3%,43.5%,46.2%,32.3%,66.7%,not available
Berlin,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Berlin,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Berlin,Opioids,25.0%,not available,35.3%,not available,not available,26.1%,not available,61.3%,33.3%,47.8%
Berlin,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bernardston,Alcohol,84.6%,42.1%,75.0%,72.0%,63.6%,64.7%,80.0%,50.0%,66.7%,not available
Bernardston,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bernardston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bernardston,Opioids,not available,not available,not available,not available,not available,not available,not available,37.5%,not available,not available
Bernardston,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Beverly,Alcohol,54.3%,57.8%,56.9%,46.4%,49.1%,42.9%,47.2%,47.5%,47.5%,43.8%
Beverly,Marijuana,6.8%,8.6%,8.4%,4.9%,6.4%,5.8%,6.3%,7.6%,6.3%,7.1%
Beverly,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Beverly,Opioids,29.4%,26.2%,26.2%,41.5%,36.9%,44.8%,41.5%,37.9%,40.2%,43.5%
Beverly,Other,9.5%,6.1%,8.6%,6.1%,6.4%,6.4%,4.9%,7.0%,5.5%,5.6%
Billerica,Alcohol,42.7%,37.5%,38.1%,37.6%,35.1%,36.9%,36.5%,28.1%,26.6%,25.1%
Billerica,Marijuana,8.1%,5.1%,5.1%,5.7%,3.5%,6.2%,4.8%,5.0%,2.8%,5.1%
Billerica,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Billerica,Opioids,45.4%,49.2%,46.8%,51.0%,56.0%,53.5%,54.1%,63.6%,66.4%,66.4%
Billerica,Other,2.4%,8.2%,9.5%,5.3%,4.7%,2.4%,4.6%,3.3%,3.7%,3.4%
Blackstone,Alcohol,69.1%,45.9%,46.8%,41.8%,59.6%,63.2%,55.0%,55.4%,56.7%,51.7%
Blackstone,Marijuana,10.9%,not available,11.7%,13.4%,14.0%,not available,10.0%,10.7%,not available,
Blackstone,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Blackstone,Opioids,12.7%,37.7%,29.9%,29.8%,10.5%,15.8%,10.0%,16.1%,29.8%,41.7%
Blackstone,Other,not available,not available,not available,13.4%,not available,not available,10.0%,not available,not available,not available
Blandford,Alcohol,36.1%,54.5%,35.0%,33.3%,33.3%,77.8%,58.8%,not available,not available,not available
Blandford,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Blandford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Blandford,Opioids,44.4%,not available,50.0%,28.6%,44.4%,not available,35.3%,not available,not available,not available
Blandford,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bolton,Alcohol,42.3%,40.9%,42.0%,50.0%,57.9%,56.0%,64.3%,61.5%,35.0%,47.1%
Bolton,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bolton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bolton,Opioids,55.5%,48.3%,48.2%,26.5%,not available,32.0%,not available,23.1%,45.0%,47.1%
Bolton,Other,1.8%,4.0%,not available,not available,not available,not available,not available,not available,not available,not available
Boston,Alcohol,34.7%,36.0%,34.8%,34.0%,31.9%,33.3%,33.3%,32.8%,30.3%,31.0%
Boston,Marijuana,3.5%,4.0%,3.5%,3.8%,4.3%,4.5%,4.0%,3.5%,3.4%,3.0%
Boston,None,0.2%,0.3%,0.1%,0.6%,0.1%,0.2%,0.6%,0.4%,0.7%,0.3%
Boston,Opioids,51.6%,49.5%,52.0%,52.4%,54.6%,54.5%,54.9%,56.4%,59.3%,59.3%
Boston,Other,9.9%,10.2%,9.7%,9.3%,9.2%,7.5%,7.1%,6.9%,6.4%,6.3%
Bourne,Alcohol,54.9%,49.8%,49.5%,56.4%,50.7%,48.5%,43.2%,40.0%,48.8%,47.8%
Bourne,Marijuana,5.7%,5.5%,5.3%,3.9%,3.1%,4.0%,3.7%,2.3%,4.2%,2.3%
Bourne,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bourne,Opioids,30.8%,35.1%,32.5%,33.2%,39.9%,41.7%,46.3%,52.2%,42.5%,45.4%
Bourne,Other,8.6%,9.6%,12.7%,6.1%,6.3%,5.8%,6.8%,5.5%,3.1%,4.1%
Boxborough,Alcohol,50.0%,66.7%,66.7%,65.2%,93.8%,not available,83.3%,64.3%,53.8%,45.0%
Boxborough,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boxborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boxborough,Opioids,26.3%,not available,20.0%,not available,not available,not available,not available,not available,not available,30.0%
Boxborough,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boxford,Alcohol,38.6%,35.4%,28.6%,56.9%,65.8%,57.5%,56.5%,51.3%,48.4%,58.6%
Boxford,Marijuana,not available,18.8%,10.7%,not available,not available,not available,not available,15.4%,not available,not available
Boxford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boxford,Opioids,43.9%,35.4%,55.4%,33.3%,26.3%,27.5%,not available,23.1%,not available,31.0%
Boxford,Other,10.5%,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boylston,Alcohol,59.0%,69.2%,70.4%,59.3%,54.5%,51.3%,58.3%,53.6%,40.7%,38.2%
Boylston,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boylston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Boylston,Opioids,23.1%,23.1%,22.2%,25.9%,not available,33.3%,25.0%,28.6%,44.4%,47.1%
Boylston,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Braintree,Alcohol,41.3%,28.9%,30.6%,32.2%,39.3%,31.2%,36.0%,34.7%,32.2%,32.0%
Braintree,Marijuana,3.6%,4.4%,2.0%,4.3%,3.6%,1.8%,2.7%,2.1%,1.3%,2.2%
Braintree,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Braintree,Opioids,47.9%,57.1%,58.4%,55.8%,52.4%,64.2%,56.0%,57.8%,60.4%,62.1%
Braintree,Other,7.2%,9.6%,9.0%,7.2%,3.1%,2.0%,5.0%,4.8%,4.6%,3.4%
Brewster,Alcohol,57.5%,50.4%,52.4%,55.1%,64.0%,48.2%,50.5%,45.5%,53.2%,58.6%
Brewster,Marijuana,7.9%,7.7%,4.8%,7.2%,5.6%,not available,3.3%,3.7%,4.2%,not available
Brewster,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Brewster,Opioids,33.1%,36.8%,35.4%,28.8%,26.1%,44.0%,44.4%,47.6%,36.8%,34.3%
Brewster,Other,not available,not available,7.5%,6.6%,not available,4.2%,not available,not available,3.7%,not available
Bridgewater,Alcohol,46.4%,46.9%,44.3%,44.3%,47.3%,45.6%,40.7%,35.7%,32.8%,34.6%
Bridgewater,Marijuana,4.4%,2.7%,3.3%,2.9%,4.2%,4.1%,4.0%,3.0%,not available,4.5%
Bridgewater,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Bridgewater,Opioids,37.5%,42.2%,42.7%,41.0%,42.0%,44.7%,50.3%,56.5%,61.5%,58.9%
Bridgewater,Other,11.5%,8.3%,9.9%,11.5%,5.7%,5.0%,5.1%,4.9%,2.0%,not available
Brimfield,Alcohol,47.7%,33.3%,41.7%,49.0%,57.1%,34.4%,48.4%,44.0%,32.4%,34.4%
Brimfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,20.6%,18.8%
Brimfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Brimfield,Opioids,31.8%,45.2%,47.9%,38.8%,25.7%,40.6%,42.0%,36.0%,32.4%,43.8%
Brimfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Brockton,Alcohol,44.8%,43.4%,41.1%,38.3%,37.9%,36.6%,38.2%,30.6%,26.6%,28.0%
Brockton,Marijuana,6.5%,5.5%,5.4%,6.1%,8.6%,5.6%,3.8%,3.4%,3.0%,3.3%
Brockton,None,not available,not available,not available,0.5%,not available,0.3%,not available,not available,not available,not available
Brockton,Opioids,36.8%,38.2%,42.5%,45.5%,44.5%,49.6%,52.2%,59.0%,64.5%,62.6%
Brockton,Other,12.0%,12.8%,11.0%,9.5%,8.9%,7.9%,5.5%,7.0%,5.7%,6.0%
Brookfield,Alcohol,55.2%,38.6%,48.1%,46.7%,53.6%,33.3%,36.6%,41.7%,34.4%,40.0%
Brookfield,Marijuana,not available,15.9%,not available,16.7%,not available,19.0%,not available,not available,11.5%,not available
Brookfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Brookfield,Opioids,22.4%,36.4%,25.0%,25.0%,25.0%,33.3%,53.6%,48.3%,50.9%,40.0%
Brookfield,Other,12.1%,not available,not available,not available,not available,not available,not available,not available,not available,not available
Brookline,Alcohol,66.8%,77.0%,72.5%,58.2%,51.3%,59.5%,54.6%,44.0%,54.5%,45.3%
Brookline,Marijuana,5.8%,3.1%,3.5%,9.3%,5.8%,8.7%,8.0%,7.3%,6.4%,not available
Brookline,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Brookline,Opioids,18.1%,11.9%,15.8%,19.2%,30.5%,25.4%,30.7%,42.7%,25.5%,41.0%
Brookline,Other,7.1%,6.5%,6.6%,10.9%,9.1%,3.5%,3.7%,4.0%,not available,11.1%
Buckland,Alcohol,46.2%,46.7%,not available,58.3%,not available,not available,not available,not available,not available,not available
Buckland,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Buckland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Buckland,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Buckland,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Burlington,Alcohol,43.1%,45.0%,41.8%,52.5%,46.6%,49.6%,43.0%,34.2%,28.5%,28.5%
Burlington,Marijuana,not available,not available,7.6%,5.6%,not available,not available,not available,3.8%,not available,not available
Burlington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Burlington,Opioids,47.9%,49.5%,45.9%,34.3%,46.6%,46.7%,49.0%,60.8%,66.1%,68.0%
Burlington,Other,4.2%,not available,not available,4.4%,not available,not available,not available,not available,not available,not available
Cambridge,Alcohol,42.2%,43.5%,42.4%,45.2%,43.9%,42.4%,43.3%,40.7%,36.2%,38.0%
Cambridge,Marijuana,5.5%,5.6%,7.1%,6.4%,6.4%,4.6%,4.7%,2.8%,3.0%,4.5%
Cambridge,None,not available,not available,2.8%,not available,not available,not available,not available,not available,not available,not available
Cambridge,Opioids,40.3%,38.9%,33.7%,35.7%,40.6%,46.2%,46.9%,49.7%,54.4%,50.7%
Cambridge,Other,11.3%,11.6%,14.0%,12.2%,8.7%,6.6%,5.0%,6.7%,6.2%,6.6%
Canton,Alcohol,59.1%,54.1%,44.0%,40.4%,40.7%,26.0%,32.2%,32.2%,35.9%,33.9%
Canton,Marijuana,not available,not available,not available,3.6%,not available,5.3%,4.1%,3.8%,not available,4.8%
Canton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Canton,Opioids,38.6%,33.0%,45.4%,51.8%,42.3%,62.6%,58.9%,55.1%,58.4%,58.2%
Canton,Other,not available,6.4%,7.3%,not available,12.7%,5.3%,not available,7.1%,not available,not available
Carlisle,Alcohol,34.3%,58.8%,57.9%,not available,not available,not available,54.5%,77.8%,58.8%,58.3%
Carlisle,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Carlisle,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Carlisle,Opioids,48.6%,not available,not available,not available,54.5%,not available,not available,not available,not available,29.2%
Carlisle,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Carver,Alcohol,53.5%,40.4%,43.4%,45.1%,36.5%,29.8%,32.3%,22.8%,26.5%,22.3%
Carver,Marijuana,5.7%,4.0%,not available,not available,5.7%,4.7%,not available,3.3%,3.7%,2.3%
Carver,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Carver,Opioids,35.7%,49.0%,45.4%,45.1%,51.6%,59.7%,60.5%,71.2%,63.0%,71.3%
Carver,Other,4.5%,6.6%,7.2%,4.9%,5.7%,4.7%,4.2%,2.4%,6.4%,3.0%
Charlemont,Alcohol,52.9%,34.5%,54.2%,50.0%,87.5%,not available,84.6%,63.6%,not available,not available
Charlemont,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Charlemont,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Charlemont,Opioids,not available,48.3%,not available,not available,not available,not available,not available,not available,not available,not available
Charlemont,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
